id_produk,minggu,current_event,id_toko,harga_promosi,diskon,diskon_margin,hari_jual,kedaluwarsa,tanggal_transaksi
P0000334,79,,1,3100,0.0,0.1426,67,298,2024-07-01
P0000225,79,,1,5800,0.0,0.2176,84,281,2024-07-01
P0004449,79,,1,2900,0.0,0.1572,15,350,2024-07-01
P0005324,79,,1,11800,0.0,0.1731,2,8,2024-07-01
P0008654,79,,1,7500,0.3566,-0.2984,4,6,2024-07-01
P0007062,79,,1,4300,0.0,0.1881,110,255,2024-07-01
P0007799,79,,1,15100,0.0,0.146,86,279,2024-07-01
P0001057,79,,1,13100,0.0,0.1385,180,185,2024-07-01
P0001884,79,,1,12500,0.0,0.1953,79,286,2024-07-01
P0001434,79,,1,10700,0.0,0.2225,114,251,2024-07-01
P0008401,79,,1,12300,0.0,0.1988,59,306,2024-07-01
P0006835,79,,1,18100,0.0,0.1373,155,385,2024-07-01
P0004585,79,,1,8200,0.0,0.1718,22,343,2024-07-01
P0001624,79,,1,6200,0.0,0.2184,117,248,2024-07-01
P0002061,79,,1,14000,0.0,0.1806,90,275,2024-07-01
P0002979,79,,1,5500,0.0,0.2222,20,345,2024-07-01
P0000269,79,,1,4400,0.0,0.1725,152,213,2024-07-01
P0003793,79,,1,4100,0.0,0.2039,174,191,2024-07-01
P0001012,79,,1,14600,0.318,-0.1354,4,6,2024-07-01
P0001124,79,,1,11200,0.0,0.196,121,244,2024-07-01
P0008533,79,,1,9600,0.376,-0.2607,7,3,2024-07-01
P0001709,79,,1,38700,0.0,0.1464,49,316,2024-07-01
P0009033,79,,1,3900,0.0,0.1759,144,221,2024-07-01
P0000448,79,,1,4300,0.0,0.224,74,291,2024-07-01
P0000453,79,,1,16900,0.0,0.2163,162,203,2024-07-01
P0007507,79,,1,30600,0.0,0.1623,96,444,2024-07-01
P0004918,79,,1,29200,0.0,0.1443,132,233,2024-07-01
P0002757,79,,1,48100,0.0,0.1698,85,455,2024-07-01
P0007839,79,,1,10900,0.0,0.2311,129,236,2024-07-01
P0002903,79,,1,21200,0.0,0.169,172,193,2024-07-01
P0002467,79,,1,35900,0.0,0.2008,65,475,2024-07-01
P0008806,79,,1,4900,0.4304,-0.391,3,7,2024-07-01
P0002948,79,,1,26600,0.0,0.1828,168,372,2024-07-01
P0008584,79,,1,11600,0.0,0.2264,1,9,2024-07-01
P0006053,79,,1,45400,0.0,0.1344,153,387,2024-07-01
P0002198,79,,1,18400,0.0,0.1424,2,8,2024-07-01
P0000772,79,,1,31300,0.0,0.2015,149,216,2024-07-01
P0001227,79,,1,4700,0.0,0.2091,77,288,2024-07-01
P0008622,79,,1,18400,0.0,0.1623,74,466,2024-07-01
P0003122,79,,1,16600,0.3536,-0.194,3,7,2024-07-01
P0007176,79,,1,26200,0.0,0.1451,147,393,2024-07-01
P0003776,79,,1,11300,0.3176,-0.2441,6,4,2024-07-01
P0008799,79,,1,40200,0.0,0.1394,109,431,2024-07-01
P0005845,79,,1,4000,0.0,0.1625,40,325,2024-07-01
P0001699,79,,1,14300,0.0,0.1761,94,271,2024-07-01
P0006391,79,,1,7400,0.0,0.1372,177,188,2024-07-01
P0005332,79,,1,5400,0.0,0.1976,168,197,2024-07-01
P0002419,79,,1,10000,0.4229,-0.4532,3,7,2024-07-01
P0000918,79,,1,5300,0.4143,-0.3536,5,5,2024-07-01
P0005716,79,,1,11800,0.0,0.1624,40,325,2024-07-01
P0004123,79,,1,5400,0.0,0.1759,46,319,2024-07-01
P0002951,79,,1,12300,0.0,0.1943,135,230,2024-07-01
P0008549,79,,1,7900,0.3678,-0.3018,3,7,2024-07-01
P0002241,79,,1,8900,0.0,0.2256,65,300,2024-07-01
P0003949,79,,1,24800,0.0,0.2079,133,232,2024-07-01
P0007897,79,,1,9300,0.0,0.2086,66,299,2024-07-01
P0000275,79,,1,2300,0.0,0.2217,72,293,2024-07-01
P0007351,79,,1,16000,0.0,0.216,21,344,2024-07-01
P0001884,79,,1,12500,0.0,0.1953,40,325,2024-07-01
