id_produk,minggu,current_event,id_toko,harga_promosi,diskon,diskon_margin,hari_jual,kedaluwarsa,tanggal_transaksi
P0005370,105,Tahun Baru,1,24300,0.0,0.2081,153,212,2025-01-01
P0002559,105,Tahun Baru,1,17500,0.0,0.1628,74,291,2025-01-01
P0007373,105,Tahun Baru,1,27200,0.0,0.1646,78,462,2025-01-01
P0003800,105,Tahun Baru,1,16700,0.0,0.1868,164,201,2025-01-01
P0006463,105,Tahun Baru,1,21700,0.0,0.2106,125,240,2025-01-01
P0001536,105,Tahun Baru,1,17500,0.0,0.1659,93,272,2025-01-01
P0007090,105,Tahun Baru,1,13500,0.0,0.2227,47,318,2025-01-01
P0003227,105,Tahun Baru,1,8000,0.0,0.136,32,333,2025-01-01
P0004144,105,Tahun Baru,1,11500,0.0,0.2272,40,325,2025-01-01
P0002855,105,Tahun Baru,1,2500,0.0,0.1396,52,313,2025-01-01
P0003904,105,Tahun Baru,1,14700,0.0,0.1465,118,247,2025-01-01
P0004987,105,Tahun Baru,1,4700,0.0,0.1623,35,330,2025-01-01
P0003587,105,Tahun Baru,1,50100,0.0,0.2227,21,519,2025-01-01
P0002285,105,Tahun Baru,1,7900,0.4041,-0.4427,7,3,2025-01-01
P0007400,105,Tahun Baru,1,7300,0.0,0.1377,27,338,2025-01-01
P0007777,105,Tahun Baru,1,2800,0.0,0.1607,123,242,2025-01-01
P0000358,105,Tahun Baru,1,11100,0.3342,-0.2945,6,4,2025-01-01
P0001089,105,Tahun Baru,1,4000,0.0,0.159,76,289,2025-01-01
P0003065,105,Tahun Baru,1,4600,0.3696,-0.3667,7,3,2025-01-01
P0001470,105,Tahun Baru,1,13600,0.0,0.2099,178,187,2025-01-01
P0006418,105,Tahun Baru,1,14500,0.3674,-0.287,7,3,2025-01-01
P0001445,105,Tahun Baru,1,20700,0.0,0.1375,171,194,2025-01-01
P0000373,105,Tahun Baru,1,15700,0.0,0.2159,139,226,2025-01-01
