id_produk,minggu,tanggal_transaksi,current_event,id_toko,harga_promosi,diskon,margin_promosi,hari_jual,kedaluwarsa
P0004448,105,2025-01-01,Tahun Baru,1,18550,0.0,0.1914,135,230
P0008464,105,2025-01-01,Tahun Baru,1,49100,0.0868,0.0794,51,314
P0006139,105,2025-01-01,Tahun Baru,1,33000,0.1005,0.0455,139,226
P0008917,105,2025-01-01,Tahun Baru,1,9300,0.1389,0.043,89,276
P0002797,105,2025-01-01,Tahun Baru,1,3000,0.0772,0.1333,83,282
P0003706,105,2025-01-01,Tahun Baru,1,57700,0.1341,0.0659,70,295
P0002689,105,2025-01-01,Tahun Baru,1,8100,0.0787,0.1235,144,221
P0007551,105,2025-01-01,Tahun Baru,1,40600,0.0956,0.1429,15,350
P0004965,105,2025-01-01,Tahun Baru,1,8900,0.0914,0.1461,167,198
P0000444,105,2025-01-01,Tahun Baru,1,19500,0.0981,0.0923,134,231
P0000186,105,2025-01-01,Tahun Baru,1,27000,0.0951,0.1111,88,277
P0006668,105,2025-01-01,Tahun Baru,1,20050,0.1473,0.0224,180,185
P0004274,105,2025-01-01,Tahun Baru,1,3400,0.1496,0.0588,32,333
P0005482,105,2025-01-01,Tahun Baru,1,35400,0.0,0.1864,114,251
P0008431,105,2025-01-01,Tahun Baru,1,24800,0.1366,0.0121,81,284
P0001468,105,2025-01-01,Tahun Baru,1,9300,0.0841,0.0538,74,291
P0005369,105,2025-01-01,Tahun Baru,1,12800,0.0581,0.1094,58,307
P0005279,105,2025-01-01,Tahun Baru,1,5800,0.0537,0.1034,96,269
P0003394,105,2025-01-01,Tahun Baru,1,30000,0.0937,0.11,150,215
P0004850,105,2025-01-01,Tahun Baru,1,1500,0.0,0.1333,20,345
P0001066,105,2025-01-01,Tahun Baru,1,60700,0.0519,0.1219,174,191
P0002232,105,2025-01-01,Tahun Baru,1,17900,0.0585,0.1117,118,247
P0005100,105,2025-01-01,Tahun Baru,1,14430,0.1397,0.0229,43,322
P0000083,105,2025-01-01,Tahun Baru,1,6200,0.0503,0.0806,125,240
P0000214,105,2025-01-01,Tahun Baru,1,16200,0.0,0.1914,84,281
P0000805,105,2025-01-01,Tahun Baru,1,12900,0.101,0.0853,147,218
P0008105,105,2025-01-01,Tahun Baru,1,13500,0.0926,0.0963,78,287
P0006685,105,2025-01-01,Tahun Baru,1,8700,0.1269,0.0345,88,277
P0009155,105,2025-01-01,Tahun Baru,1,19598,0.1428,0.0203,167,198
P0008045,105,2025-01-01,Tahun Baru,1,16091,0.1438,0.0243,77,288
P0001193,105,2025-01-01,Tahun Baru,1,8700,0.1335,0.0805,117,248
P0007156,105,2025-01-01,Tahun Baru,1,5400,0.0,0.2222,111,254
P0007305,105,2025-01-01,Tahun Baru,1,6461,0.1353,0.0559,147,218
P0006905,105,2025-01-01,Tahun Baru,1,6800,0.1087,0.0882,67,298
P0007771,105,2025-01-01,Tahun Baru,1,51900,0.149,0.0462,40,325
P0009235,105,2025-01-01,Tahun Baru,1,25900,0.1113,0.1158,45,320
P0003427,105,2025-01-01,Tahun Baru,1,11700,0.0,0.1624,163,202
P0003916,105,2025-01-01,Tahun Baru,1,7100,0.0948,0.0986,60,305
P0003790,105,2025-01-01,Tahun Baru,1,15100,0.129,0.0132,83,282
P0006958,105,2025-01-01,Tahun Baru,1,22000,0.0544,0.0955,24,341
P0004348,105,2025-01-01,Tahun Baru,1,31900,0.0,0.1442,78,287
P0002668,105,2025-01-01,Tahun Baru,1,25400,0.0871,0.0748,90,275
P0007932,105,2025-01-01,Tahun Baru,1,17127,0.4111,0.0191,6,4
P0000875,105,2025-01-01,Tahun Baru,1,34600,0.0,0.1329,15,350
P0003952,105,2025-01-01,Tahun Baru,1,5500,0.0707,0.0909,102,263
P0008494,105,2025-01-01,Tahun Baru,1,15150,0.0,0.1485,98,267
P0001337,105,2025-01-01,Tahun Baru,1,10200,0.117,0.049,173,192
P0007415,105,2025-01-01,Tahun Baru,1,7500,0.0866,0.0933,27,338
P0006641,105,2025-01-01,Tahun Baru,1,4400,0.1082,0.1364,44,321
P0006879,105,2025-01-01,Tahun Baru,1,13700,0.082,0.0803,166,199
P0001365,105,2025-01-01,Tahun Baru,1,40200,0.1128,0.0821,83,282
P0002074,105,2025-01-01,Tahun Baru,1,22700,0.0,0.2159,94,271
P0009003,105,2025-01-01,Tahun Baru,1,28400,0.1218,0.0915,124,241
P0004519,105,2025-01-01,Tahun Baru,1,9600,0.081,0.1042,37,328
P0003375,105,2025-01-01,Tahun Baru,1,18300,0.1226,0.0929,59,306
P0002768,105,2025-01-01,Tahun Baru,1,16800,0.0,0.2083,20,345
P0001856,105,2025-01-01,Tahun Baru,1,3000,0.0731,0.1667,106,259
P0003359,105,2025-01-01,Tahun Baru,1,13100,0.1123,0.084,29,336
P0003964,105,2025-01-01,Tahun Baru,1,2216,0.4447,0.0975,3,7
P0003538,105,2025-01-01,Tahun Baru,1,6550,0.0,0.1756,38,327
P0001321,105,2025-01-01,Tahun Baru,1,25150,0.0,0.2008,56,309
P0000529,105,2025-01-01,Tahun Baru,1,21700,0.1225,0.0783,75,290
P0008525,105,2025-01-01,Tahun Baru,1,28600,0.0,0.1993,68,297
P0000443,105,2025-01-01,Tahun Baru,1,3194,0.3243,0.0607,4,6
P0001709,105,2025-01-01,Tahun Baru,1,8800,0.0,0.1477,53,312
P0006644,105,2025-01-01,Tahun Baru,1,54400,0.0819,0.1085,101,264
P0006272,105,2025-01-01,Tahun Baru,1,15300,0.0536,0.1111,59,306
P0002225,105,2025-01-01,Tahun Baru,1,19750,0.0,0.1595,121,244
P0000883,105,2025-01-01,Tahun Baru,1,15200,0.0673,0.1645,92,273
P0005446,105,2025-01-01,Tahun Baru,1,6800,0.0935,0.1324,106,259
P0003426,105,2025-01-01,Tahun Baru,1,40500,0.0891,0.0568,53,312
P0000103,105,2025-01-01,Tahun Baru,1,14300,0.0,0.2168,163,202
P0006314,105,2025-01-01,Tahun Baru,1,7500,0.0705,0.16,54,311
P0007480,105,2025-01-01,Tahun Baru,1,12500,0.1075,0.08,120,245
P0008886,105,2025-01-01,Tahun Baru,1,12900,0.1233,0.0853,87,278
P0007491,105,2025-01-01,Tahun Baru,1,3166,0.3401,0.1156,4,6
P0008957,105,2025-01-01,Tahun Baru,1,26400,0.0866,0.0606,131,234
P0001106,105,2025-01-01,Tahun Baru,1,5000,0.1153,0.06,56,309
P0001987,105,2025-01-01,Tahun Baru,1,31950,0.0,0.2019,49,316
P0003324,105,2025-01-01,Tahun Baru,1,12300,0.054,0.1707,158,207
P0006575,105,2025-01-01,Tahun Baru,1,4600,0.0568,0.087,26,339
P0003676,105,2025-01-01,Tahun Baru,1,6700,0.0658,0.1493,107,258
P0008620,105,2025-01-01,Tahun Baru,1,18700,0.0957,0.123,146,219
P0003395,105,2025-01-01,Tahun Baru,1,10600,0.0591,0.0849,122,243
P0007781,105,2025-01-01,Tahun Baru,1,58400,0.1094,0.0856,111,254
P0003906,105,2025-01-01,Tahun Baru,1,19700,0.0,0.1929,110,255
P0006852,105,2025-01-01,Tahun Baru,1,9100,0.0575,0.1429,38,327
P0003829,105,2025-01-01,Tahun Baru,1,7600,0.096,0.1053,74,291
P0002353,105,2025-01-01,Tahun Baru,1,57000,0.1184,0.0333,172,193
P0008049,105,2025-01-01,Tahun Baru,1,5300,0.1325,0.0189,71,294
P0000556,105,2025-01-01,Tahun Baru,1,46100,0.0813,0.1323,165,200
P0003259,105,2025-01-01,Tahun Baru,1,17700,0.0599,0.1356,26,339
P0001583,105,2025-01-01,Tahun Baru,1,11100,0.0868,0.0721,164,201
P0004539,105,2025-01-01,Tahun Baru,1,19300,0.0,0.2176,18,347
P0005576,105,2025-01-01,Tahun Baru,1,19100,0.0732,0.1675,93,272
P0004700,105,2025-01-01,Tahun Baru,1,9600,0.1315,0.0938,116,249
P0007814,105,2025-01-01,Tahun Baru,1,7600,0.1038,0.1447,148,217
P0002403,105,2025-01-01,Tahun Baru,1,51200,0.0716,0.0957,39,326
P0007157,105,2025-01-01,Tahun Baru,1,68900,0.1456,0.0987,46,319
P0006474,105,2025-01-01,Tahun Baru,1,7600,0.1399,0.0395,150,215
P0007207,105,2025-01-01,Tahun Baru,1,13200,0.0,0.1894,35,330
P0008335,105,2025-01-01,Tahun Baru,1,13100,0.1146,0.0763,119,246
P0006313,105,2025-01-01,Tahun Baru,1,26800,0.0,0.194,94,271
P0007037,105,2025-01-01,Tahun Baru,1,34500,0.1397,0.0435,150,215
P0002382,105,2025-01-01,Tahun Baru,1,16800,0.1325,0.1012,160,205
P0003411,105,2025-01-01,Tahun Baru,1,18900,0.0,0.2169,70,295
P0005517,105,2025-01-01,Tahun Baru,1,27700,0.0987,0.0939,42,323
P0002835,105,2025-01-01,Tahun Baru,1,60800,0.0858,0.1579,38,327
P0004121,105,2025-01-01,Tahun Baru,1,9100,0.0698,0.0989,167,198
P0006934,105,2025-01-01,Tahun Baru,1,9106,0.3498,0.0336,6,4
P0007973,105,2025-01-01,Tahun Baru,1,6900,0.1086,0.1304,87,278
P0002938,105,2025-01-01,Tahun Baru,1,9900,0.1076,0.1111,33,332
P0008407,105,2025-01-01,Tahun Baru,1,39200,0.0788,0.125,108,257
P0006771,105,2025-01-01,Tahun Baru,1,6100,0.086,0.0492,163,202
P0008386,105,2025-01-01,Tahun Baru,1,14000,0.1251,0.0429,59,306
P0007118,105,2025-01-01,Tahun Baru,1,12100,0.1272,0.0413,125,240
P0005241,105,2025-01-01,Tahun Baru,1,4000,0.0,0.15,70,295
P0004966,105,2025-01-01,Tahun Baru,1,7400,0.1388,0.0946,141,224
P0005254,105,2025-01-01,Tahun Baru,1,18300,0.0,0.1967,28,337
P0008045,105,2025-01-01,Tahun Baru,1,16000,0.1159,0.0187,88,277
P0005440,105,2025-01-01,Tahun Baru,1,24800,0.1411,0.0161,153,212
P0009070,105,2025-01-01,Tahun Baru,1,12300,0.1005,0.1057,140,225
P0008376,105,2025-01-01,Tahun Baru,1,24300,0.0756,0.0617,46,319
P0004167,105,2025-01-01,Tahun Baru,1,28000,0.0,0.1929,82,283
P0006742,105,2025-01-01,Tahun Baru,1,7896,0.4897,0.0502,4,6
P0001793,105,2025-01-01,Tahun Baru,1,8500,0.1455,0.0471,49,316
P0004457,105,2025-01-01,Tahun Baru,1,3700,0.0972,0.0811,180,185
P0000667,105,2025-01-01,Tahun Baru,1,3894,0.4613,0.1269,6,4
P0005663,105,2025-01-01,Tahun Baru,1,21500,0.0862,0.0651,146,219
P0008551,105,2025-01-01,Tahun Baru,1,4800,0.1104,0.125,67,298
P0004654,105,2025-01-01,Tahun Baru,1,39300,0.0548,0.1247,134,231
P0007044,105,2025-01-01,Tahun Baru,1,6900,0.0637,0.1449,47,318
P0008594,105,2025-01-01,Tahun Baru,1,5900,0.0508,0.1186,61,304
P0002941,105,2025-01-01,Tahun Baru,1,28200,0.0781,0.1028,169,196
P0007260,105,2025-01-01,Tahun Baru,1,29500,0.1148,0.122,105,260
P0005100,105,2025-01-01,Tahun Baru,1,14421,0.1307,0.0223,38,327
P0005230,105,2025-01-01,Tahun Baru,1,11600,0.1486,0.0603,151,214
P0005331,105,2025-01-01,Tahun Baru,1,32900,0.1208,0.0456,161,204
P0004414,105,2025-01-01,Tahun Baru,1,5200,0.0,0.1731,2,8
P0007778,105,2025-01-01,Tahun Baru,1,46800,0.1163,0.1282,110,255
P0007986,105,2025-01-01,Tahun Baru,1,9100,0.1164,0.022,90,275
P0001712,105,2025-01-01,Tahun Baru,1,11200,0.1449,0.0357,117,248
P0005148,105,2025-01-01,Tahun Baru,1,9500,0.1284,0.0842,81,284
P0007882,105,2025-01-01,Tahun Baru,1,2900,0.0972,0.1379,28,337
P0000369,105,2025-01-01,Tahun Baru,1,38600,0.1049,0.0933,146,219
P0006299,105,2025-01-01,Tahun Baru,1,20914,0.3298,0.0102,3,7
P0008231,105,2025-01-01,Tahun Baru,1,4443,0.4832,0.0997,6,4
P0008794,105,2025-01-01,Tahun Baru,1,8200,0.1277,0.0366,96,269
