id_produk,minggu,tanggal_transaksi,current_event,id_toko,harga_promosi,diskon,tipe_diskon,margin_promosi,hari_jual,kedaluwarsa
P00006625,105,2025-01-01,Tahun Baru,1,7600,0.0695,Event Based Discount,0.1282,37,328
P00006663,105,2025-01-01,Tahun Baru,1,26500,0.1137,Event Based Discount,0.0657,88,277
P00001779,105,2025-01-01,Tahun Baru,1,24700,0.0,Event Based Discount,0.138,53,312
P00003731,105,2025-01-01,Tahun Baru,1,16900,0.0,Event Based Discount,0.2092,148,947
P00000995,105,2025-01-01,Tahun Baru,1,10400,0.1207,Event Based Discount,0.1106,36,329
P00003566,105,2025-01-01,Tahun Baru,1,12300,0.1228,Event Based Discount,0.0992,61,304
P00000543,105,2025-01-01,Tahun Baru,1,26200,0.0,Event Based Discount,0.2148,119,246
P00000190,105,2025-01-01,Tahun Baru,1,24400,0.1175,Event Based Discount,0.1061,47,318
P00000648,105,2025-01-01,Tahun Baru,1,13800,0.0,Event Based Discount,0.1578,119,246
P00005773,105,2025-01-01,Tahun Baru,1,19300,0.0,Event Based Discount,0.1568,83,97
P00005130,105,2025-01-01,Tahun Baru,1,25700,0.0623,Event Based Discount,0.1105,158,207
P00000296,105,2025-01-01,Tahun Baru,1,12400,0.0,Event Based Discount,0.1694,138,227
P00006370,105,2025-01-01,Tahun Baru,1,19300,0.0582,Event Based Discount,0.0996,168,197
P00005921,105,2025-01-01,Tahun Baru,1,18800,0.0,Event Based Discount,0.2279,65,300
P00004962,105,2025-01-01,Tahun Baru,1,3100,0.0,Event Based Discount,0.1419,63,302
P00001806,105,2025-01-01,Tahun Baru,1,5900,0.1121,Event Based Discount,0.1393,180,185
P00001002,105,2025-01-01,Tahun Baru,1,20600,0.1227,Event Based Discount,0.0716,44,321
P00004291,105,2025-01-01,Tahun Baru,1,16400,0.0,Event Based Discount,0.167,58,672
P00003074,105,2025-01-01,Tahun Baru,1,26600,0.0,Event Based Discount,0.2223,118,612
P00004779,105,2025-01-01,Tahun Baru,1,2500,0.0,Event Based Discount,0.1444,76,654
P00003786,105,2025-01-01,Tahun Baru,1,5700,0.0,Event Based Discount,0.1993,92,638
P00000543,105,2025-01-01,Tahun Baru,1,26200,0.0,Event Based Discount,0.2148,169,196
P00004395,105,2025-01-01,Tahun Baru,1,15200,0.0,Event Based Discount,0.1578,153,387
P00003423,105,2025-01-01,Tahun Baru,1,12700,0.0,Event Based Discount,0.198,123,57
P00006338,105,2025-01-01,Tahun Baru,1,18000,0.0,Event Based Discount,0.2047,77,653
P00001634,105,2025-01-01,Tahun Baru,1,20600,0.0537,Event Based Discount,0.1063,110,255
P00000898,105,2025-01-01,Tahun Baru,1,82416,0.3069,Expired Discount,0.003,3,4
P00003271,105,2025-01-01,Tahun Baru,1,18200,0.0,Event Based Discount,0.1699,158,382
P00006727,105,2025-01-01,Tahun Baru,1,9800,0.1033,Event Based Discount,0.0603,31,334
P00002726,105,2025-01-01,Tahun Baru,1,23400,0.0,Event Based Discount,0.1325,114,251
P00004738,105,2025-01-01,Tahun Baru,1,10400,0.0,Event Based Discount,0.1536,124,-94
P00005913,105,2025-01-01,Tahun Baru,1,15600,0.0,Event Based Discount,0.1418,139,591
P00001996,105,2025-01-01,Tahun Baru,1,52350,0.4888,Expired Discount,0.0069,1,6
P00001745,105,2025-01-01,Tahun Baru,1,72455,0.3037,Expired Discount,0.0019,1,6
P00001062,105,2025-01-01,Tahun Baru,1,6000,0.0,Event Based Discount,0.1823,113,252
P00004074,105,2025-01-01,Tahun Baru,1,28700,0.0,Event Based Discount,0.1324,30,15
P00005112,105,2025-01-01,Tahun Baru,1,7100,0.0,Event Based Discount,0.2221,30,510
P00003369,105,2025-01-01,Tahun Baru,1,19400,0.0,Event Based Discount,0.2274,148,217
P00004879,105,2025-01-01,Tahun Baru,1,26400,0.0,Event Based Discount,0.2085,113,252
P00005141,105,2025-01-01,Tahun Baru,1,13700,0.0,Event Based Discount,0.1756,88,642
P00001377,105,2025-01-01,Tahun Baru,1,46054,0.3776,Expired Discount,0.0069,3,4
P00005102,105,2025-01-01,Tahun Baru,1,32200,0.0,Event Based Discount,0.2291,125,415
P00006641,105,2025-01-01,Tahun Baru,1,11200,0.0,Event Based Discount,0.1638,101,264
P00001252,105,2025-01-01,Tahun Baru,1,39174,0.4104,Expired Discount,0.0126,2,5
P00001328,105,2025-01-01,Tahun Baru,1,16400,0.0,Event Based Discount,0.1632,17,28
P00005172,105,2025-01-01,Tahun Baru,1,9000,0.0,Event Based Discount,0.2208,142,223
P00003860,105,2025-01-01,Tahun Baru,1,44436,0.3758,Expired Discount,0.007,1,4
P00002118,105,2025-01-01,Tahun Baru,1,24800,0.1304,Event Based Discount,0.0285,18,347
P00005289,105,2025-01-01,Tahun Baru,1,4600,0.0685,Event Based Discount,0.1515,16,349
P00005440,105,2025-01-01,Tahun Baru,1,13400,0.1393,Event Based Discount,0.0299,19,346
P00005709,105,2025-01-01,Tahun Baru,1,27758,0.4839,Expired Discount,0.0165,1,6
P00005877,105,2025-01-01,Tahun Baru,1,9500,0.0,Event Based Discount,0.2237,24,341
P00003911,105,2025-01-01,Tahun Baru,1,12200,0.0,Event Based Discount,0.2016,46,319
P00000193,105,2025-01-01,Tahun Baru,1,7900,0.0,Event Based Discount,0.1549,135,230
P00006465,105,2025-01-01,Tahun Baru,1,16000,0.0,Event Based Discount,0.2017,116,424
