id_produk,minggu,current_event,id_toko,harga_promosi,diskon,diskon_margin,hari_jual,kedaluwarsa,tanggal_transaksi
P0008069,1,Promo Akhir Pekan,1,2400,0.1987,-0.0479,139,226,2023-01-01
P0004799,1,Promo Akhir Pekan,1,10000,0.0694,0.1139,121,244,2023-01-01
P0007431,1,Promo Akhir Pekan,1,4200,0.1112,0.0774,44,321,2023-01-01
P0008642,1,Promo Akhir Pekan,1,5900,0.1576,0.0624,178,187,2023-01-01
P0003755,1,Promo Akhir Pekan,1,10700,0.1365,0.0243,85,280,2023-01-01
P0008472,1,Promo Akhir Pekan,1,10200,0.1853,0.0548,149,216,2023-01-01
P0001043,1,Promo Akhir Pekan,1,18700,0.1123,0.0932,28,337,2023-01-01
P0002497,1,Promo Akhir Pekan,1,12700,0.1248,0.0661,84,281,2023-01-01
P0003175,1,Promo Akhir Pekan,1,2300,0.1615,0.0043,104,261,2023-01-01
P0002142,1,Promo Akhir Pekan,1,2500,0.1179,0.0888,53,312,2023-01-01
P0000269,1,Promo Akhir Pekan,1,4100,0.0597,0.112,25,340,2023-01-01
P0003506,1,Promo Akhir Pekan,1,4000,0.1415,0.0808,115,250,2023-01-01
P0004496,1,Promo Akhir Pekan,1,17100,0.129,0.012,2,8,2023-01-01
P0007093,1,Promo Akhir Pekan,1,35800,0.1859,-0.0247,123,417,2023-01-01
P0008872,1,Promo Akhir Pekan,1,13200,0.3108,-0.2265,5,5,2023-01-01
P0004882,1,Promo Akhir Pekan,1,16800,0.1053,0.0701,130,410,2023-01-01
P0008571,1,Promo Akhir Pekan,1,4200,0.1017,0.1217,60,305,2023-01-01
P0001377,1,Promo Akhir Pekan,1,5700,0.1262,0.0682,168,197,2023-01-01
P0006871,1,Promo Akhir Pekan,1,2900,0.0715,0.071,73,292,2023-01-01
P0004700,1,Promo Akhir Pekan,1,6200,0.1667,-0.0269,77,288,2023-01-01
P0000129,1,Promo Akhir Pekan,1,18000,0.1776,0.0002,111,254,2023-01-01
P0006961,1,Promo Akhir Pekan,1,23200,0.1785,0.0492,112,253,2023-01-01
P0008781,1,Promo Akhir Pekan,1,16100,0.153,0.0875,39,326,2023-01-01
P0000255,1,Promo Akhir Pekan,1,16300,0.0733,0.1491,159,206,2023-01-01
P0002350,1,Promo Akhir Pekan,1,23500,0.158,-0.0184,29,511,2023-01-01
P0000922,1,Promo Akhir Pekan,1,36800,0.0993,0.0557,97,443,2023-01-01
P0001516,1,Promo Akhir Pekan,1,28000,0.1245,0.0406,72,468,2023-01-01
P0000916,1,Promo Akhir Pekan,1,17100,0.121,0.1131,41,324,2023-01-01
P0005877,1,Promo Akhir Pekan,1,4800,0.1791,-0.0146,138,227,2023-01-01
P0002190,1,Promo Akhir Pekan,1,10000,0.377,-0.2974,4,6,2023-01-01
P0002580,1,Promo Akhir Pekan,1,13800,0.1024,0.13,125,240,2023-01-01
P0008298,1,Promo Akhir Pekan,1,12200,0.161,0.0556,46,319,2023-01-01
P0003079,1,Promo Akhir Pekan,1,10900,0.052,0.0838,109,256,2023-01-01
P0008142,1,Promo Akhir Pekan,1,1700,0.1596,0.0094,34,331,2023-01-01
P0004368,1,Promo Akhir Pekan,1,17300,0.1866,0.0113,51,314,2023-01-01
P0001103,1,Promo Akhir Pekan,1,10100,0.0947,0.0786,107,258,2023-01-01
P0005527,1,Promo Akhir Pekan,1,1900,0.1077,0.0637,111,254,2023-01-01
P0005495,1,Promo Akhir Pekan,1,3700,0.1693,0.0005,84,281,2023-01-01
P0000085,1,Promo Akhir Pekan,1,7200,0.1392,0.0943,91,274,2023-01-01
P0009047,1,Promo Akhir Pekan,1,3400,0.098,0.1235,135,230,2023-01-01
P0006862,1,Promo Akhir Pekan,1,6000,0.1709,0.0672,75,290,2023-01-01
P0003052,1,Promo Akhir Pekan,1,3800,0.118,0.0508,19,346,2023-01-01
P0008248,1,Promo Akhir Pekan,1,9200,0.1442,0.0304,37,328,2023-01-01
P0002198,1,Promo Akhir Pekan,1,11500,0.3766,-0.3722,5,5,2023-01-01
P0003814,1,Promo Akhir Pekan,1,6700,0.0951,0.1467,140,225,2023-01-01
P0000285,1,Promo Akhir Pekan,1,2600,0.1998,-0.1012,107,258,2023-01-01
P0000856,1,Promo Akhir Pekan,1,31000,0.1332,0.0722,133,407,2023-01-01
P0007317,1,Promo Akhir Pekan,1,2300,0.161,-0.0322,110,255,2023-01-01
P0002169,1,Promo Akhir Pekan,1,1900,0.075,0.1611,129,236,2023-01-01
P0007241,1,Promo Akhir Pekan,1,16400,0.0862,0.157,164,201,2023-01-01
P0006535,1,Promo Akhir Pekan,1,13300,0.0512,0.0831,134,231,2023-01-01
P0005151,1,Promo Akhir Pekan,1,6800,0.0645,0.0743,162,203,2023-01-01
P0002195,1,Promo Akhir Pekan,1,8000,0.1418,0.0636,175,190,2023-01-01
P0005445,1,Promo Akhir Pekan,1,5900,0.1657,0.0108,112,253,2023-01-01
P0004152,1,Promo Akhir Pekan,1,4700,0.1535,0.0072,62,303,2023-01-01
P0004338,1,Promo Akhir Pekan,1,3100,0.1951,0.0452,95,270,2023-01-01
P0001402,1,Promo Akhir Pekan,1,2100,0.1555,0.0143,114,251,2023-01-01
P0003401,1,Promo Akhir Pekan,1,4800,0.0543,0.1827,168,197,2023-01-01
P0008331,1,Promo Akhir Pekan,1,31800,0.1506,0.006,122,418,2023-01-01
P0001146,1,Promo Akhir Pekan,1,16200,0.1799,-0.0093,25,340,2023-01-01
P0006703,1,Promo Akhir Pekan,1,3600,0.1531,0.0708,26,339,2023-01-01
P0001250,1,Promo Akhir Pekan,1,6300,0.0935,0.076,150,215,2023-01-01
P0006036,1,Promo Akhir Pekan,1,25600,0.1052,0.1105,57,308,2023-01-01
P0004712,1,Promo Akhir Pekan,1,9100,0.085,0.0849,132,233,2023-01-01
P0006771,1,Promo Akhir Pekan,1,45400,0.0603,0.1332,131,409,2023-01-01
P0005059,1,Promo Akhir Pekan,1,6100,0.121,0.0205,144,221,2023-01-01
P0004424,1,Promo Akhir Pekan,1,5200,0.1182,0.0308,82,283,2023-01-01
P0004157,1,Promo Akhir Pekan,1,2600,0.1191,0.0042,26,339,2023-01-01
P0007066,1,Promo Akhir Pekan,1,3400,0.154,0.0829,93,272,2023-01-01
P0001900,1,Promo Akhir Pekan,1,12000,0.1088,0.1199,111,254,2023-01-01
P0002572,1,Promo Akhir Pekan,1,8600,0.1359,0.0894,131,234,2023-01-01
P0006835,1,Promo Akhir Pekan,1,16900,0.0637,0.076,136,404,2023-01-01
P0008307,1,Promo Akhir Pekan,1,12600,0.0862,0.0787,53,312,2023-01-01
P0002369,1,Promo Akhir Pekan,1,11000,0.1683,0.0762,39,326,2023-01-01
P0000332,1,Promo Akhir Pekan,1,33400,0.1415,0.1015,65,475,2023-01-01
P0001867,1,Promo Akhir Pekan,1,4600,0.1388,0.0457,56,309,2023-01-01
P0003130,1,Promo Akhir Pekan,1,5000,0.1453,0.0232,15,350,2023-01-01
P0007685,1,Promo Akhir Pekan,1,8300,0.1541,0.0592,28,337,2023-01-01
P0002550,1,Promo Akhir Pekan,1,2900,0.1616,0.079,76,289,2023-01-01
P0009210,1,Promo Akhir Pekan,1,9500,0.1397,0.0605,138,227,2023-01-01
P0009083,1,Promo Akhir Pekan,1,6600,0.1852,0.05,120,245,2023-01-01
P0002804,1,Promo Akhir Pekan,1,6300,0.1475,-0.0094,128,237,2023-01-01
P0000704,1,Promo Akhir Pekan,1,10100,0.1013,0.141,174,191,2023-01-01
P0000595,1,Promo Akhir Pekan,1,13200,0.0658,0.0696,108,257,2023-01-01
P0003463,1,Promo Akhir Pekan,1,9600,0.1508,0.0038,46,319,2023-01-01
P0005117,1,Promo Akhir Pekan,1,29600,0.1617,0.0599,173,192,2023-01-01
P0005789,1,Promo Akhir Pekan,1,4300,0.1422,0.07,125,240,2023-01-01
P0005295,1,Promo Akhir Pekan,1,9200,0.3286,-0.2926,4,6,2023-01-01
P0007436,1,Promo Akhir Pekan,1,15700,0.1255,0.0823,160,205,2023-01-01
P0008154,1,Promo Akhir Pekan,1,9900,0.1274,0.0772,38,327,2023-01-01
P0006524,1,Promo Akhir Pekan,1,17600,0.0592,0.1648,62,303,2023-01-01
P0007898,1,Promo Akhir Pekan,1,4200,0.127,0.0467,119,246,2023-01-01
P0006303,1,Promo Akhir Pekan,1,35500,0.135,0.0803,38,502,2023-01-01
P0000872,1,Promo Akhir Pekan,1,23900,0.0905,0.1069,68,472,2023-01-01
P0003123,1,Promo Akhir Pekan,1,13200,0.1066,0.0708,128,237,2023-01-01
P0004641,1,Promo Akhir Pekan,1,4400,0.1491,-0.0082,139,226,2023-01-01
P0006781,1,Promo Akhir Pekan,1,17500,0.1569,-0.0052,50,315,2023-01-01
P0001691,1,Promo Akhir Pekan,1,9500,0.0974,0.1155,64,301,2023-01-01
P0000902,1,Promo Akhir Pekan,1,21800,0.1939,-0.0333,31,509,2023-01-01
P0007117,1,Promo Akhir Pekan,1,6700,0.1963,-0.0663,45,320,2023-01-01
P0003326,1,Promo Akhir Pekan,1,2500,0.0662,0.1628,155,210,2023-01-01
P0007426,1,Promo Akhir Pekan,1,6200,0.0533,0.1489,1,9,2023-01-01
P0007824,1,Promo Akhir Pekan,1,22700,0.1859,-0.0143,73,292,2023-01-01
P0006039,1,Promo Akhir Pekan,1,9500,0.4885,-0.5934,3,7,2023-01-01
P0000931,1,Promo Akhir Pekan,1,28600,0.0926,0.0843,119,421,2023-01-01
P0008203,1,Promo Akhir Pekan,1,2400,0.129,0.0846,170,195,2023-01-01
P0006506,1,Promo Akhir Pekan,1,7800,0.1714,0.0695,63,302,2023-01-01
P0004793,1,Promo Akhir Pekan,1,36000,0.0615,0.1006,113,427,2023-01-01
P0001549,1,Promo Akhir Pekan,1,5900,0.4769,-0.5737,7,3,2023-01-01
P0007460,1,Promo Akhir Pekan,1,8100,0.0883,0.0943,178,187,2023-01-01
P0004899,1,Promo Akhir Pekan,1,8300,0.0902,0.1365,37,328,2023-01-01
P0004649,1,Promo Akhir Pekan,1,28000,0.0899,0.0565,66,474,2023-01-01
P0003393,1,Promo Akhir Pekan,1,4000,0.0503,0.1258,55,310,2023-01-01
